ParkID;Name;Official;Advisories;SpecialFeatures;Facilities;Washrooms;StreetNumber;StreetName;EWStreet;NSStreet;NeighbourhoodName;NeighbourhoodURL;Hectare;GoogleMapDest
32;Wendy Poole Park;1;N;N;N;N;199;Alexander Street;Alexander Street;Main Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;0.04;49.284296,-123.099666
34;Balaclava Park;1;N;N;Y;Y;4594;Balaclava Street;W 29th Avenue;Balaclava Street;Dunbar-Southlands;https://vancouver.ca/news-calendar/dunbar-southlands.aspx;5.0;49.244951,-123.175247
35;Park Site on Blenheim;1;N;N;N;N;3500;Quadra Street;W 19th Avenue;Quadra Street;Arbutus-Ridge;https://vancouver.ca/news-calendar/arbutus-ridge.aspx;0.07;49.255575,-123.178934
39;Memorial West Park;1;N;N;Y;Y;4701;Dunbar Street;W 31st Avenue;Dunbar Street;Dunbar-Southlands;https://vancouver.ca/news-calendar/dunbar-southlands.aspx;7.49;49.243326,-123.188166
43;Charleson Park;1;N;Y;Y;N;999;Charleson Street;Charleson Street;Laurel Street;Fairview;https://vancouver.ca/news-calendar/fairview.aspx;7.14;49.266995,-123.1242
44;Granville Park;1;N;N;Y;Y;3001;Fir Street;W 14th Avenue;Fir Street;Fairview;https://vancouver.ca/news-calendar/fairview.aspx;1.96;49.258105,-123.142395
47;Sutcliffe Park;1;N;Y;Y;N;1318;Cartwright Street;Island Park Walk;Old Bridge Walk;Fairview;https://vancouver.ca/news-calendar/fairview.aspx;2.88;49.268871,-123.134832
57;Pandora Park;1;N;N;Y;Y;2325;Franklin Street;Franklin Street;Garden Drive;Grandview-Woodland;https://vancouver.ca/news-calendar/grandview-woodland.aspx;1.66;49.282533,-123.058045
58;Salsbury Park;1;N;N;N;N;1806;Adanac Street;Adanac Street;Salsbury Drive;Grandview-Woodland;https://vancouver.ca/news-calendar/grandview-woodland.aspx;0.17;49.277291,-123.067926
61;Park Site on Trinity Street;1;N;N;N;N;2303;Wall Street;Trinity Street;Wall Street;Hastings-Sunrise;https://vancouver.ca/news-calendar/hastings-sunrise.aspx;0.1;49.289561,-123.059459
62;Victoria Park;1;N;N;Y;Y;1425;Victoria Drive;Kitchener Street;Victoria Drive;Grandview-Woodland;https://vancouver.ca/news-calendar/grandview-woodland.aspx;0.89;49.271694,-123.06673
63;W.C. Shelly Park;1;N;N;Y;N;1500;E 8th Avenue;E 8th Avenue;Woodland Drive;Grandview-Woodland;https://vancouver.ca/news-calendar/grandview-woodland.aspx;0.3;49.263034,-123.072931
67;Burrard View Park;1;N;N;Y;Y;650;North Penticton Street;Wall Street;N Penticton Street;Hastings-Sunrise;https://vancouver.ca/news-calendar/hastings-sunrise.aspx;2.76;49.291253,-123.050513
69;Charles Park;1;N;N;N;N;3400;Charles Street;Charles Street;Kootenay Street;Hastings-Sunrise;https://vancouver.ca/news-calendar/hastings-sunrise.aspx;1.55;49.273407,-123.027661
71;Dusty Greenwell Park;1;N;N;Y;N;2799;Wall Street;Wall Street;North Kaslo Street;Hastings-Sunrise;https://vancouver.ca/news-calendar/hastings-sunrise.aspx;0.44;49.292113,-123.047643
73;Hastings Community Park;1;N;N;Y;Y;3000;E Pender Street;E Pender Street;E Hastings Street;Hastings-Sunrise;https://vancouver.ca/news-calendar/hastings-sunrise.aspx;4.19;49.280637,-123.038884
80;Cedar Cottage Park;1;N;N;Y;N;2650;Clark Drive;E 11th Avenue;Clark Drive;Kensington-Cedar Cottage;https://vancouver.ca/news-calendar/kensington-cedar-cottage.aspx;0.47;49.260807,-123.076605
87;Kensington Park;1;N;N;Y;N;5175;Dumfries Street;E 37th Avenue;Dumfries Street;Kensington-Cedar Cottage;https://vancouver.ca/news-calendar/kensington-cedar-cottage.aspx;5.84;49.238478,-123.075308
89;Sunnyside Park;1;N;N;Y;N;1100;E 17th Avenue;E 17th Avenue;Inverness Street;Kensington-Cedar Cottage;https://vancouver.ca/news-calendar/kensington-cedar-cottage.aspx;0.97;49.254924,-123.080752
90;Arbutus Park;1;N;N;Y;N;7601;Arbutus Street;SW Marine Drive;Arbutus Street;Kerrisdale;https://vancouver.ca/news-calendar/kerrisdale.aspx;0.74;49.21659,-123.15513
91;Elm Park;1;N;N;Y;Y;5800;Elm Street;W 41st Avenue;Elm Street;Kerrisdale;https://vancouver.ca/news-calendar/kerrisdale.aspx;1.49;49.233847,-123.163488
93;Kerrisdale Centennial Park;1;N;N;Y;N;5898;Yew Street;W 42nd Avenue;Yew Street;Kerrisdale;https://vancouver.ca/news-calendar/kerrisdale.aspx;1.53;49.233094,-123.158043
97;McCleery Park;1;N;N;N;N;6501;Marine Crescent;W 49th Avenue;Marine Crescent;Kerrisdale;https://vancouver.ca/news-calendar/kerrisdale.aspx;0.25;49.226973,-123.164155
101;Everett Crowley Park;1;N;N;Y;N;8200;Kerr Street;SE Marine Drive;Kerr Street;Killarney;https://vancouver.ca/news-calendar/killarney.aspx;38.08;49.210985,-123.036321
103;Killarney Park;1;N;N;Y;N;6205;Kerr Street;Waverley Street;Kerr Street;Killarney;https://vancouver.ca/news-calendar/killarney.aspx;13.36;49.227998,-123.04413
105;Sparwood Park;1;N;N;Y;N;6998;Arlington Street;Whithorn Court;Arlington Street;Killarney;https://vancouver.ca/news-calendar/killarney.aspx;3.6;49.220024,-123.028777
109;Delamont Park;1;N;N;Y;N;2091;W 7th Avenue;W 7th Avenue;Arbutus Street;Kitsilano;https://vancouver.ca/news-calendar/kitsilano.aspx;0.22;49.265808,-123.152426
111;Jean Beaty Park;1;N;N;N;N;3393;Point Grey Road;Point Grey Road;Waterloo Street;West Point Grey;https://vancouver.ca/news-calendar/point-grey.aspx;0.04;49.271913,-123.179433
118;Seaforth Peace Park;1;N;N;N;N;1620;Chestnut Street;Cornwall Avenue;Chestnut Street;Kitsilano;https://vancouver.ca/news-calendar/kitsilano.aspx;0.74;49.271554,-123.145967
119;Tatlow Park;1;N;N;Y;Y;2845;W 3rd Avenue;Point Grey Road;Point Grey Road;Kitsilano;https://vancouver.ca/news-calendar/kitsilano.aspx;1.4;49.270068,-123.169609
123;Eburne Park;1;N;N;Y;N;950;W 71st Avenue;W 71st Avenue;Oak Street;Marpole;https://vancouver.ca/news-calendar/marpole.aspx;0.9;49.206517,-123.129241
124;Marpole Park;1;N;N;Y;N;1410;W 72nd Avenue;W 72nd Avenue;Cartier Street;Marpole;https://vancouver.ca/news-calendar/marpole.aspx;0.27;49.205507,-123.138307
127;Riverview Park;1;N;N;Y;N;1751;W 66th Avenue;W 66th Avenue;Angus Drive;Marpole;https://vancouver.ca/news-calendar/marpole.aspx;2.38;49.212238,-123.147342
130;William Mackie Park;1;N;N;Y;N;1592;W 71st Avenue;W 71st Avenue;SW Marine Drive;Marpole;https://vancouver.ca/news-calendar/marpole.aspx;0.37;49.206787,-123.142733
133;China Creek North Park;1;N;N;Y;N;1001;E 7th Avenue;E 7th Avenue;Glen Drive;Mount Pleasant;https://vancouver.ca/news-calendar/mount-pleasant.aspx;3.16;49.264901,-123.083355
134;China Creek South Park;1;N;N;Y;N;1255;E 10th Avenue;E 10th Avenue;Clark Drive;Mount Pleasant;https://vancouver.ca/news-calendar/mount-pleasant.aspx;1.47;49.261581,-123.079352
138;Major Matthews Park;1;N;N;Y;N;2627;Manitoba Street;W 11th Avenue;Manitoba Street;Mount Pleasant;https://vancouver.ca/news-calendar/mount-pleasant.aspx;0.06;49.26158,-123.107238
139;Mount Pleasant Park;1;N;N;Y;N;3161;Ontario Street;W 16th Avenue;Ontario Street;Mount Pleasant;https://vancouver.ca/news-calendar/mount-pleasant.aspx;1.12;49.25696,-123.106743
140;Robson Park;1;N;N;Y;Y;599;Kingsway;Kingsway;St. George Street;Mount Pleasant;https://vancouver.ca/news-calendar/mount-pleasant.aspx;1.56;49.258229,-123.091798
141;Tea Swamp Park;1;N;N;Y;N;266;E 15th Avenue;E 15th Avenue;Sophia Street;Mount Pleasant;https://vancouver.ca/news-calendar/mount-pleasant.aspx;0.09;49.257091,-123.098595
142;Cambie Park;1;N;N;N;N;500;W 54th Avenue;W 54th Avenue;Cambie Street;Oakridge;https://vancouver.ca/news-calendar/oakridge.aspx;0.93;49.221411,-123.117988
143;Columbia Park;1;N;N;Y;Y;5908;Alberta Street;W 42nd Avenue;Alberta Street;Oakridge;https://vancouver.ca/news-calendar/oakridge.aspx;2.78;49.231521,-123.111978
145;Langara Golf Course;1;N;N;Y;N;6706;Alberta Street;W 49th Avenue;Alberta Street;South Cambie;https://vancouver.ca/news-calendar/south-cambie.aspx;48.57;49.221371,-123.11211
150;Carleton Park;1;N;N;Y;N;3450;Price Street;Price Street;Joyce Street;Renfrew-Collingwood;https://vancouver.ca/news-calendar/renfrew.aspx;0.68;49.242002,-123.030451
152;Earles Park;1;N;N;Y;N;2801;E 41st Avenue;E 41st Avenue;Earles Street;Renfrew-Collingwood;https://vancouver.ca/news-calendar/renfrew.aspx;1.59;49.233476,-123.047702
153;Falaise Park;1;N;N;Y;Y;3434;Falaise Avenue;Worthington Drive;Falaise Avenue;Renfrew-Collingwood;https://vancouver.ca/news-calendar/renfrew.aspx;7.57;49.256485,-123.031631
154;Foster Park;1;N;N;Y;N;5501;Aberdeen Street;Foster Avenue;Aberdeen Street;Renfrew-Collingwood;https://vancouver.ca/news-calendar/renfrew.aspx;0.29;49.234046,-123.028741
155;Gaston Park;1;N;N;Y;N;3470;Crowley Drive;Crowley Drive;Tyne Street;Renfrew-Collingwood;https://vancouver.ca/news-calendar/renfrew.aspx;1.5;49.236117,-123.031094
161;Slocan Park;1;N;N;Y;Y;2750;E 29th Avenue;E 29th Avenue;Slocan Street;Renfrew-Collingwood;https://vancouver.ca/news-calendar/renfrew.aspx;4.14;49.243921,-123.047574
